"Scenario","Robots","Plongeurs","DiffRobotsMoinsPlongeurs","Total"
"oxygene_rare_A30_T50_D10","431","201","230","632"
"oxygene_rare_A30_T50_D20","375","69","306","444"
"oxygene_rare_A40_T80_D20","836","161","675","997"
"plongeur_fort_A30_T50_D10","185","381","-196","566"
"plongeur_fort_A30_T50_D20","223","269","-46","492"
"plongeur_fort_A40_T80_D20","420","556","-136","976"
"reference_A30_T50_D10","435","561","-126","996"
"reference_A30_T50_D20","372","393","-21","765"
"reference_A40_T80_D20","849","769","80","1618"
"robot_fort_A30_T50_D10","628","464","164","1092"
"robot_fort_A30_T50_D20","617","376","241","993"
"robot_fort_A40_T80_D20","1254","833","421","2087"
